"Per Pupil Expenditures by Function (District), 2021-22"
"State of Connecticut"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 3 = Total pupils transported"

"District","District Code","Function","Expenditures","Pupils","Pupil Basis","PPE"
"State of Connecticut","=""0000000""","Instruction","$6,714,398,548",541455,1,"$12,401"
"State of Connecticut","=""0000000""","Support services - students","$772,853,092",507599,2,"$1,523"
"State of Connecticut","=""0000000""","Support services - instruction","$415,307,132",507599,2,"$818"
"State of Connecticut","=""0000000""","Support services - general administration","$229,551,905",507599,2,"$452"
"State of Connecticut","=""0000000""","Support services - school based administration","$562,183,790",507599,2,"$1,108"
"State of Connecticut","=""0000000""","Central and other support services","$355,264,762",507599,2,"$700"
"State of Connecticut","=""0000000""","Operation and maintenance of plant","$938,910,084",507599,2,"$1,850"
"State of Connecticut","=""0000000""","Student transportation services","$602,134,286",411220,3,"$1,464"
"State of Connecticut","=""0000000""","Food services","$2,347,060",507599,2,"$5"
"State of Connecticut","=""0000000""","Enterprise operations","$92,162,399",507599,2,"$182"
"State of Connecticut","=""0000000""","Minor school construction","N/A","N/A","N/A","N/A"
"State of Connecticut","=""0000000""","Total","$10,685,113,058",541455,1,"$19,734"

