"Per Pupil Expenditures by Function (District), 2019-20"
"State of Connecticut"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 3 = Total pupils transported"

"District","District Code","Function","Expenditures","Pupils","Pupil Basis","PPE"
"State of Connecticut","=""0000000""","Instruction","$6,110,386,945",556378,1,"$10,982"
"State of Connecticut","=""0000000""","Support services - students","$686,579,883",521078,2,"$1,318"
"State of Connecticut","=""0000000""","Support services - instruction","$355,858,794",521078,2,"$683"
"State of Connecticut","=""0000000""","Support services - general administration","$236,465,474",521078,2,"$454"
"State of Connecticut","=""0000000""","Support services - school based administration","$528,642,107",521078,2,"$1,015"
"State of Connecticut","=""0000000""","Central and other support services","$352,280,125",521078,2,"$676"
"State of Connecticut","=""0000000""","Operation and maintenance of plant","$862,816,267",521078,2,"$1,656"
"State of Connecticut","=""0000000""","Student transportation services","$506,572,622",437035,3,"$1,159"
"State of Connecticut","=""0000000""","Food services","$10,770,224",521078,2,"$21"
"State of Connecticut","=""0000000""","Enterprise operations","$76,983,271",521078,2,"$148"
"State of Connecticut","=""0000000""","Minor school construction","N/A","N/A","N/A","N/A"
"State of Connecticut","=""0000000""","Total","$9,727,356,161",556378,1,"$17,483"

