"Per Pupil Expenditures by Function (District), 2022-23"
"State of Connecticut"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 3 = Total pupils transported"

"District","District Code","Function","Expenditures","Pupils","Pupil Basis","PPE"
"State of Connecticut","=""0000000""","Instruction","$7,002,344,255",541066,1,"$12,942"
"State of Connecticut","=""0000000""","Support services - students","$874,852,124",507489,2,"$1,724"
"State of Connecticut","=""0000000""","Support services - instruction","$459,285,963",507489,2,"$905"
"State of Connecticut","=""0000000""","Support services - general administration","$263,969,371",507489,2,"$520"
"State of Connecticut","=""0000000""","Support services - school based administration","$612,484,188",507489,2,"$1,207"
"State of Connecticut","=""0000000""","Central and other support services","$391,296,670",507489,2,"$771"
"State of Connecticut","=""0000000""","Operation and maintenance of plant","$1,066,119,769",507489,2,"$2,101"
"State of Connecticut","=""0000000""","Student transportation services","$657,096,508",415470,3,"$1,582"
"State of Connecticut","=""0000000""","Food services","$4,202,682",507489,2,"$8"
"State of Connecticut","=""0000000""","Enterprise operations","$107,871,962",507489,2,"$213"
"State of Connecticut","=""0000000""","Minor school construction","N/A","N/A","N/A","N/A"
"State of Connecticut","=""0000000""","Total","$11,439,523,491",541066,1,"$21,143"

