"Per Pupil Expenditures by Function (District), 2023-24"
"State of Connecticut"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 3 = Total pupils transported"

"District","District Code","Function","Expenditures","Pupils","Pupil Basis","PPE"
"State of Connecticut","=""0000000""","Instruction","$7,276,491,672",540147,1,"$13,471"
"State of Connecticut","=""0000000""","Support services - students","$925,109,626",506632,2,"$1,826"
"State of Connecticut","=""0000000""","Support services - instruction","$492,467,495",506632,2,"$972"
"State of Connecticut","=""0000000""","Support services - general administration","$287,757,396",506632,2,"$568"
"State of Connecticut","=""0000000""","Support services - school based administration","$645,296,414",506632,2,"$1,274"
"State of Connecticut","=""0000000""","Central and other support services","$385,420,437",506632,2,"$761"
"State of Connecticut","=""0000000""","Operation and maintenance of plant","$1,076,515,976",506632,2,"$2,125"
"State of Connecticut","=""0000000""","Student transportation services","$707,203,858",417138,3,"$1,695"
"State of Connecticut","=""0000000""","Food services","$5,155,540",506632,2,"$10"
"State of Connecticut","=""0000000""","Enterprise operations","$110,866,056",506632,2,"$219"
"State of Connecticut","=""0000000""","Minor school construction","N/A","N/A","N/A","N/A"
"State of Connecticut","=""0000000""","Total","$11,912,284,469",540147,1,"$22,054"

