"Per Pupil Expenditures by Function (District), 2018-19"
"State of Connecticut"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than minor school construction and equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 3 = Total pupils transported"

"District","District Code","Function","Expenditures","Pupils","Pupil Basis","PPE"
"State of Connecticut","=""0000000""","Instruction","$5,994,530,609",559497,1,"$10,714"
"State of Connecticut","=""0000000""","Support services - students","$655,590,909",523946,2,"$1,251"
"State of Connecticut","=""0000000""","Support services - instruction","$349,885,469",523946,2,"$668"
"State of Connecticut","=""0000000""","Support services - general administration","$239,599,445",523946,2,"$457"
"State of Connecticut","=""0000000""","Support services - school based administration","$523,799,555",523946,2,"$1,000"
"State of Connecticut","=""0000000""","Central and other support services","$348,499,442",523946,2,"$665"
"State of Connecticut","=""0000000""","Operation and maintenance of plant","$881,993,113",523946,2,"$1,683"
"State of Connecticut","=""0000000""","Student transportation services","$560,607,748",435228,3,"$1,288"
"State of Connecticut","=""0000000""","Food services","$6,115,535",523946,2,"$12"
"State of Connecticut","=""0000000""","Enterprise operations","$83,830,030",523946,2,"$160"
"State of Connecticut","=""0000000""","Minor school construction","$0",523946,2,"$0"
"State of Connecticut","=""0000000""","Total","$9,674,601,783",559497,1,"$17,292"

